Timestamp,CPU Usage (%),RAM Usage (%),Disk Usage (%)
1723289822.0849907,0.3,81.5,77.7
1723289827.0903282,0.3,81.2,77.7
1723289832.0963576,1.5,81.2,77.7
1723289837.101546,0.2,81.2,77.7
1723289842.1067517,0.1,81.2,77.7
1723289847.1125393,0.2,81.1,77.7
1723289852.1186624,0.8,80.6,77.7
1723289857.1249845,0.3,80.6,77.7
1723289862.130641,1.5,80.6,77.7
1723289867.1352468,0.2,80.6,77.7
1723289872.1413863,0.1,80.6,77.7
1723289877.1473205,0.2,80.6,77.7
1723289882.1512513,0.1,80.5,77.7
1723289887.15709,0.2,80.5,77.7
1723289892.1641285,1.4,80.5,77.7
1723289897.167434,2.3,80.7,77.7
1723289902.1716082,3.1,80.8,77.7
1723392144.9137316,100.0,82.5,77.9
1723392149.92431,15.8,89.1,77.9
1723392154.930599,4.0,86.8,77.9
1723392159.9349675,1.6,86.7,77.9
1723392164.93903,2.9,86.5,77.9
1723392169.9432645,2.1,84.4,77.9
1723392174.9485977,4.6,82.9,77.9
1723392179.9531689,4.1,82.5,77.9
1723392184.9588785,3.5,82.6,77.9
